FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
TRUE,2023-01-10,,TRAINING on SCAFOLDING Certification,"Nerio to train Lemos on scafolding erection and checking. Lemos is only incomplete, he just needs training from NERIO to be ready to perform the on hand exam.",ROMMEL,For Schedule with Nerio. ,1/31/2023,,,,,
TRUE,2023-01-09,,Creation of Patrol Group,Assignment of safety patrol to conduct regular checking per department.  Checklist to be provided,Rodel / Joel,"Next Week follow up findings and Schedule of Inspection
Continous Implementation",4/14/2023,,,Meeting Done regarding the Safety Patrol. Plus report. ,,
TRUE,2023-01-09,,,regular cleaning and maintenance of powdercoating recovery suction ,PAINT/MAINTENANCE,"Schedule for Cleaning and Maintenance

Done with the cleaning of heat exchanger and burner. Includes repair of fan motor bracket.",1/22/2023,,,We have to be ready by Jan 22. ,,
TRUE,2023-01-09,,,Firehose Replacement. They are easily broken. ,MAINT,"1) Replacing wornout with Spare Firehose.  For canvas
2) Look for DOuble layer Firehose
3) For PR
4) Looking for suppliers
5) Preparation of PR/PO
6) PR/PO for approval PR-CSC-23-003657",8/31/2023,,,,,
TRUE,2023-01-09,,,"EPR facilities for checking : spill kits, secondary containments, eye wash, fire hose.   ERT team for revision",SAFETY/EVERY DEPT.,Non.,1/24/2023,,,,,
TRUE,2023-01-09,,,safety logo on uniform - design for proposal to HRMD,Rodel / Joel,for creation of the First Aider band,4/14/2023,2023-03-15,,presented friday,,
TRUE,2023-01-09,,Safety Signages,safety signages - research for new designs.  print in larger tarpaulins to enhance visibility,Rodel / Joel,"For installation
Ongoing 230809",8/30/2023,,,"delayed for Garbage Disposal. 
Email DENR application Online, needs to be updated. ",,
TRUE,2023-01-03,,PILOT the MANUFACTURING of ERPNEXT to speed up the Ops meeting.,"Hypothesis: We can start using the ERPNEXT Manufacturing with Dummy data to Speed up our OPS meeting. During the operations Meeting, it takes a similar amount of time for us to fill in the CELLS as it would be to fix up the ERPNext Operations. 
1) (PROJ document needed) Sitdown to Demo with KEY PEOPLE: Jenny identify key people for this. 
2) We can create a DUMMY START,  Raw Materials WIP, and additional Job Cards can be Created on the fly. 
3) We need a number of weeks of Dry Run: Identify Problems and Propose Solutions - GOAL: FASTER than our current Meeting.  
4) Criteria for LIVE - by live just Dummy Data. We just want to SPEED UP ops meetings by using the JOB CARDS.  its faster because the JOB CARDS = PAR - FILLING up the PAR does the double duty of UPDATING the status of the ITEM status. 
5) ",JUSTIN,"WED 4pm after INFRA. 
SAMPLE MRP and WO with Operations.
DEFERRED until NEW Project Based OJT
(HOLD)
ONGOING - Memo from justin
240710 Process Mapping by IE. Transition Plan and creating a proposd Process Map. 
241023 for data cleaning first",9/3/2025,,,,,
FALSE,2022-12-28,,PATH to Lagoon for Forklift.,"Create a Path to Lagoon Area. 
Lagoon is Inaccessible - Space for Storage, 
and other Facilities. ",PROJECT STAFF,"ARF for EDD for the Junction Box - Plant Visit and Evaluatioin. 
Evaluated Junction Box for power cable and Plan the change in floor plan. (Have a Junction Box Electrical Plan). 
October 22 EDD/PID visit, include the Evaluation for Quotation. For Schedule 231115
Deferred to March of 2024
Deferred to April-2024 240306
Given the current Load, deffered to May 2024 (240403)
Piping problems 241016
250716 - Ongoing due to Biotech Project
250730 - for OJT
250806 - 
250905- for Planning and Scheduling
251008 - Joined to Solar Project ( add to the scope of the rewiring)
251015 - for proposal
251022 - for proposal of machines (relayout)
260107 Problem Statement and Schduling. 
260206 - on Hold; warehouse extension priority",1/6/2027,,,"
Sample Project Document",Proposed path to Lagoon,
TRUE,2022-12-28,,DISPOSAL OF NON-MOVING. Free up half a wing (? Sqm.),"1) (Make a proj document that will report Plans, Actual, Results - bad and good) Identify all the Items for DISPOSAL: Ex. Non-moving stock >2 years. FG >2 years. Items not in our Books.
2) Identify Economic Benefits - Fumigation Costs (60k, aka 30k/year), Accessibility of Fast moving Goods. Making things On demand if the Item is not needed. 
3) Identify the USES of the Space - ex. Move Old FG from production, 
4) Get Authorization. ",,"Deadline for Final Bid 230802, For Tomorrow Opening of the Bids. ",9/11/2023,2023-04-03,,"as discussed with John Nicolo during Plant Inspection of Dec 28 2022. 
if the items are in our books but left there for >2 years then We should have been Giving them to SALES. 
If they are not in our books, and in our SPACE - analysis how did it get there. 
",Finished Goods Inventory,
TRUE,2022-12-20,,Pull out Proceedure for Change Process (Proposal),Creation Change Process Proceedure,QA/SHIPPING/WH,Meeting on Friday - May 19 - For Signig.,5/19/2023,,,"Others who need Change Proposal Training. 
Ric, Jason, and Elaine (WH, PDTD, and SHipping)",,
TRUE,2022-12-13,,,HOLIDAY manpower staffing. ,Rey,Discuss and Agree on Holiday Leaves to meet Minimum Requirements for Operations. ,12/20/2022,,,Only 20% will be lost during the Holiday Season. ,,
TRUE,2023-01-03,,LAST MILE (Backup Delivery options),"Last Mile can provide Trucks and Drivers, if our Trucks fail as well delivering Options. Its only in Last Mile we can see if we are doing Cheaper Logistics since they generate reports of the costs.
Goals are is it Cheaper to Fix our Vehicles than use Last Mile. Ideally we dont need last mile but if we do need. It measures the value of having more resources for repairs and maintenance.",SHIPPING,"Creation of Cost Analysis for Luzon, Cebu and IloIlo vs Last Mile.
Make sure the Cost of all the Paper Work, Stickers, Regulations, Testing - Cost and Time it takes. Include the Manhours per Vehicle. 
Capacity Loading Policies. 
Quotes and Tables will be Placed in Vehicle Status
Work for SPLD to get information 
Schedule of visit",4/3/2023,,,"Last Mile is CNA's product, usage of this service helps learn costs of logistics and see if we are being efficient. As well as when we have rush deliveries. 
The Training: The ability to Order and Schedule Deliveries using the App. As well as Bench our Costs and Service LEvel. 
Dont forget to Work with Maam Let for Cost Analysis of our Shipping. 
""Coordinate with jeff@lastmile.ph  for Training. 
Coordinate with Letlet for the Cost and the Cost analysis. How much is our Historical Monthly cost of the vehicles. To date costs. 
1) FUEL, Man-Hours of Repair (Get manhours per year, divide by Month), Deprecation Accounting. 
2) Evaluation of the Trucks. """,,
TRUE,2022-12-21,,PRINTER FOR MAINTENANCE (IT),The cost of a  2000-7000php printer good for 8 years for Maintenance? ,MAINT/HR ,"FOR installing Network Printing

Follow-up Mike (IT)",2/7/2023,,They cannot do the cost benefit analysis?,"Attachments, Forms. Schedules. Documents for Bureacracy etc... It Interrupts IT and Maintenance. 
Maintance has around 400 PRs, Most the Items here are Maintenance Related, so its a department as busy as any other. Why dont we spend 6300php to just give it a Printer? ",,
TRUE,2022-12-19,,HAND EDGE BANDER,"
This is needed to what - SAGILITY PAVIA - 
JOEL JASO 
RONALD PANGANIBAN 
DENNIS BERNALES 
DJ 
ARIEL
Target 1 Week to Create the Procedures and pass the Training to PID.
Why is it on Site. 
Decision for which Edging was done Too late, the work has to be done on site. Work is going to be done in ILOILO - its impractical to be sent to the plant. Its easier to send to the ILOILO Site  

",ERNING/SYSTEM,"TESTING actual sized Worktop - to check the quality of the gluing. 
This Week. 
Is it better than No Panel Saw on Site? Were they able to use the Collapsible Panel Saw? Trimmer? Can we send the Boards there and they Cut it and Glue it On site for speedier deployment. 
for video sharing. 
Demo for Arlene - 
Research - Fast Boding vs Hot Melt in Edge Bading. 
videos how the Manual Edge bander. (Edge bander is on the table with the board being pushed). 
Target MONDAY May 8 for Arlene's Visit. ",5/10/2023,,,,"""COntact Makati - Project Owners for IC to trigger this, If True. (They need Hand Edge Banders for the Project).
Chance Process Proposal to be created.
(Hot melt vs Regular Glue)
SJO Will be created - 
WHEN PMO/PID PRs a Hand Edge Bander, Plant Needs its Own PR for HEB?
CHANGE PROCEEDURE - in the document, propose the HEB- CITE the long process time of this event. (CITE rush projects  outside MM). SYSTEMS (for PR). """,
TRUE,,,,Various Cleaning Works,MAINTENANCE,On-going cleaning and dsimantling (see shared pictures)  Facilities Upgrade Album,8/31/2023,,,"Other Plant maintenance activities:

1.       Repainting of main gate and guard house (including repair of side gutter). (NCO# 22-C-11-0081)

2.       Repainting of the plant box and fence from the main gate to the parking area. (NCO# 22-C-11-0080)

3.       Cleaning of executive house ground and stage area. (cutting unnecessary trees, dismantling of metal structures, disposal of accumulated waste, branches & dry leaves and cleaning of grounds)

4.       Repainting of the outside wall of the admin building.

5.       Replacement of vinyl tiles at Clinic, HR office, maintenance office,  mezzanine office and conference room.

6.       Painting of ceiling of mezzanine area.

7.       Cleaning and leveling of perimeter ground. (cutting of unnecessary trees, plants and grass, dumping of dried leaves, paint sludge and saw dust to all the deep portion of the ground).

Thank you.",,
TRUE,,,,SEWAGE - Siphoning of Waste,EHS,"For creation of Cleaning/Siphoning Outlet for ADMIN. For Schedule after the Move.  

For creation of Cleaning/Siphoning Outlet for Executive House. Coordinate with ROnald PM of Executive House 

CC plant management, Inquire with Ronald timeline for the Sewage. 
PENDING - the drainage MAPPING. 
Verify the Status of the ADmin septic tank. What happened to the sewege. 
Forperio Schedule and Timeline. Talk to maam Lou about scheduling 240117. once the sched is known proceed with the paper for it. Ask for the schedule from maam lou 240124. Follow up Maam Lou for timeline 240131
Coordinate with Maam lou when can the provisions and changes be made, so we can we schedule for Siphoning. 240214. Dependent on Tiles, schedule now - coordinate with  240221. 
Tiles for Scheduling of Implementation. 
Look for Other Siphoners - starting with Biogas in the Area - Ask bern - check Water utilities company for inclusive Sewage Treatement.
ADMIN building EST 240415 (as of 240320)
Siphoning is good for ADMIN - 240424
PRed 240508
240613 Scheduled June 16 2024
240626 Admin ongoing and Warehouse Remaining
240703 still looking for Septic Tank. For schedule of drilling
240710 - Admin septic tank - 6 inch drill bit. Still looking for septic tank. 
240731 - Search for a good snake or the  endoscope or a borescope. Then PR.  Check youtube videos about it - looking for one that helps us measure and find (Ideally it can measure distance) https://chatgpt.com/share/e23a762d-196d-4f05-a70c-2963f6f18b57 
240807 looking for the Septic Tank
240821 - sonde borescope
240828 - looking for septic tank
240912 - 
241008 - borescope for testing
241023 for sched testing
241127 testing of the borescope is good. For trial Sunday. ",2025-01-15,,,,"Maintenance Projects  
OPS LOG ",
FALSE,,,,LEVELING the back of the Plant,MAINTENANCE,"End of contract for the extra workers (March 28)

To be continued by regular personnel
240703 Ongoing landfiling
240710 Debris is being used as Filler for Leveling
250205 Ongoing
250806 - Ongoing disrupted by the RAIN
250905 - Ongoing, 
251008 - added to the Lagoon path project
251015 - ongoing
251022 - ongoing
260206 - deferred for next year",1/6/2027,,,"Drawing of the Plant in FreeCAD BIM. 
Staff until Dec 23. ON January PRF. 
""Planning of the task. Requirements Gathering. 
Drawings of the Area
Create a List of Items Maintenance needs Ivan to Draw. We can get him for some jobs.
PRF for additional for the Ongoing Tasks. 230103""",,
TRUE,,,,"MACHINE DISPOSAL
Second and FINAL List",MAINTENANCE/PROJ STAFF,"Coordinate with Poli and Maam Lou for this. 
Send the list. CC maam Lou. 
Coordinating the Proceedure. 
ONGOING PROCEEDURE.",8/12/2023,2023-01-30,,"Key Questions to Answer:
1) Can this machine's capabilities be done by another machine?
2) Does the machine do something none of the other machines do?
3) When were these machines last used? What for?
4) If we removed this machine What capability is lost to us?
5) If this capability is Obsolete and Not Required - Why? (Example. Hardwoods were replaced by Particle Boards because it was cheaper and Hardwoods became Laminates and fulfilled different roles in furniture designs)
NO documentation - on some equipment. Best Guess for the Date. Priority Capability - is it in needed, obsolete. 
""For printing of list for disposal and questions. 
Final Disposal for DISPOSAL. It assessment of what Machines are Needed, in addition. 
Schedule 230105 Final Discussion. ""
""FINAL LIST FOR DISPOSAL. 
Prepare recommendationf for Management. Color code for disposal ORANGE, and to keep GREEN. """,,
TRUE,,,,MACHINES Breakdown and Report,MAINTENANCE,"Find BUYERS and schedule Bidding.
ongoing Finding Buyers. ",2/28/2023,2023-01-30,,"1) 230104 Euromac is based on Edman when it will be fixed. Rover A Biesse - SPLD does not have access to payment. Statement of account. 
QAR# 23-023 Evaluation of Output After Repair of Biesse Edgebander #43.docxhttps://drive.google.com/file/d/1sGU6kfTIj_pTR57F_4KK_9DU8yTRWpeg/view?ts=645a0802",,
TRUE,2022-12-13,,,Warehouse Mezzanine Termites ,MAINTENANCE,"Imported wood termite treatment done by on March 28 by 3A pest control

To conduct plant wide termite treatment
Request proposal from 3A and Mapecon

Treatment to be schedule by 3A pest Control

Done.",1/8/2024,,,"bvillegas@topcruzysp.com
Chappy Villegas
(0917) 858 6756
Pest COntrol for Schedule - Quarterly Treatment by Mapicon. 
FUMIGATION of 10 years is 30k per year. 2 sessions. ",,
TRUE,2022-11-23,,EHS,HAZARDOUS WASTE STORAG AREA,EHS,"Waiting for Down Payment (Nerio is fine to proceed)
Proposal of Nerio
Proposal for the Genset area. For Review of the Design. 
For choosing a Different Space - infront of Batch Type. for Approval of Final location. Finalize Location.",11/8/2023,,,As commented by Mr. Nicolo regarding the HazMat storage.,,
TRUE,2022-12-07,,,MOCKUP - proceedure. ,"PDTD/PPC/QA/R&D
JUSTIN","Email the Draft for Discussion. 
Target Friday May 19 for the Meeting. 
For Schedule Discussion - meeting on Friday 9am. 
MOCK-OP-02 REVISION - For Signature and Release. 
Schedule meeting with Makati. (After disposal)
Draft for makati, for Schedule - 230804 (friday)
- For Review and Feedback. 230810. ",8/10/2023,,,"nothing has been signed. No clear replacement for Macky. Default ongoing is that PDTD is in the place of the R&D. 
Managemetn Review Minutes reflect the Justification for this. 
R&D - FreeCAD R&D and R&D for Furniture - are they the same thing are they Different? Which is should have our funds: Which has the Highest COST and Quality of Life IMpact? 
Clients making Requests on Technology - Proceedures in Capturing this Technology. ",,
TRUE,2022-12-07,,MAINTENANCE,Send Old Aircon to Tech Center for Smart Electronics Capstone Project,MAINTENANCE,FOR SENDING TECH CENTER repaired AIRCON.,1/13/2023,2023-01-17,,"have the Newer Aircon TC has been set up? 
""Repair Compressor
COmpressor Sourcing
for PR the Quotation.""",,
TRUE,,,,What to do with Executive House in 2023,MAINTENANCE,"Talk to Earnest - hand over. 
Pictures of the Area. 
Floor Plan of the Area that will be affected. 
Contact to Smart Home Philippines. 
NCO -CSC
For coordination with Ms. Arlene",3/29/2023,,,"Concerete Well? What to do with the Well? (balon - deep hole, unknown use). ",,
TRUE,2022-11-23,,,MAIN GATE appearance and SIGNAGE,MAINTENANCE,,4/25/2023,,,"sent to Jose no response. Escalate - CC directors - junette, kervin, and maam lou. 
""Finialize the Size (1.5-2m height), Color BG off-white and Gray Logo and Sign. Send Samples of Paint to TPDD for recommendation  // according to ESA
Primer to be set up
Send Bureau Veritas ISO Logo. / We have to send the proposal to BV for approval. 
Waiting for Approval. Follow up - TPDD?
Summarize the Lastest Information, and request for the Approved Picture (Signed). 
Jose Followed up Paul - Photoshop the Picture. ""
TPDD will review and recommend: they will provide a picture. Mgt will then Approve.  ",,
TRUE,2022-11-22,,EHS,"STUDY of Composte BIN to reduce our Dried Vegetation waste for disposal. 
Leveling the Back and ",EHS,"Scheduling the Disposal.
Looking for the Qualifying Vendors for Waste Disposal Or We perform the disposal. 
Resecheduling Siphoning 
Leveling was done with Dead foilage. Ongoing leveling. After the Leveling.",2/5/2024,,,"Miliken regarding the Composting. 
executive house - trimmings have been made. will be included with the regular garbage. Dried leaves. (2 Trucks already, and going 3rd for a total of 3600php)
Compost bin and Hazmat Area. 
""Approved for Truck. 
Go for Composte Bin. (Plan the position and logistics - pathway; how much tonnage). Give requirement to design.""",,
TRUE,2022-11-22,,Plant personnel requests,for Nerio's Special Projects,Maintenance,Contract Signing with Nerio,3/29/2023,,,"for Nerio's skill requirements. 
Talk to Maam Lou and Letlet with this. 
Nerio Aggreed to: 
1) Finishing Area - 
2) HazMat 
3) CR 
- Scope of Works and Time Line Creation. ",,
TRUE,2022-11-22,,,Bill of Material for Nerio's Projects,,"For installation of fresh air blower and motor

To fix wiring and switches for lighting by maintenance personnel. (on-going)",5/25/2023,,,"Ivan for Ducting. 
Nerio for Civil Works. ",,
TRUE,2022-11-22,,,Covid Protocol's Safety Commitee. ,EHS,"document the recommend proceedure: Esclation, and Coordination when symptoms are observed. 
for Disemination - communication protocols.",1/10/2023,,,"Covid Incidient. Stakeholders were not alerted as desired. We will calibrate the procedure. 
Request for Blind Side CCTV is Reject. No budget for that. ",,
TRUE,2022-11-08,,,"ANNOUNCEMENT: 
Surveilance AUDIT Dec 1 & 5",All Plant departments,"Submit all Audit Documents, Prepare RA, Objectives and Reports. Plan your readiness",11/29/2022,2022-12-01,,"TBD the Covid policy, cite the meetings. ",,
TRUE,2022-11-22,,Plant personnel requests,221122 Project Staff CSC Personnel Request FORM jcna sgnd.pdf,Rey,For INTERVIEW. ,1/17/2023,,,all 3 Position - for Sharing. I cannot find the Positions in Indeed.ph 221221,,
TRUE,2022-11-22,,Plant personnel requests,221122 PR-HR rev3 (QA IE) SGND.pdf,Jenny,"For sourcing PDTD. 
IE for Requirements. 
HOLD",2/22/2023,2023-01-31,,"January the Janitor/Custodian.
all 3 Position - for Sharing",,
TRUE,2022-11-29,,Production Coordinator,Metal Coordinator PR,Rey,"For Recruiting
Request from Gina the Link of the Position Advertisment",1/10/2023,2023-01-17,,all 3 Position - for Sharing,,
TRUE,2022-11-29,,R&D Dept.,R&D dept. ,HR/JUSTIN,"MEETING THIS WEEK. 
for meeting (as above discussion). For Creation of Authorizing Documents or identification of Other Pending requiremetns. 
HOLD
JUSTIN will create the DDC and Processes",3/22/2023,,,"reporting to the Plant Manager. Update charter of the R&D. 
Job Description, ARCES, informatioin when to start. Jan 2. Office will be in his original station. ",,
TRUE,2022-11-08,,,"PAINT MATERIALS being consumed for Civil Works from site. 
Causing we run out of Thinner, the consumption affeted our Reorder Points","JCNA, Ric, Rey, Jen","For Distribution
MEMO ON FINAL DISCUSSION: 
Immediate replenishment of any Painting that is Non-Plant Production. 
ISSUE minutes of the Meeting",1/31/2023,,,"This is a workaround that should be Corrected. 
1) Last order of these materails for Plant. 
2) Recent Order of Materials for Projet Site (non-Plant). 
3) modify consumption based on this NEW value. Calculate the REorder Point based on this new Value. 
""Generate Analysis, List of Items, and New Maintaining balance and Reorder points. 
Invoices searching - upload the spreadsheets of it in Google Drive and use the Search Funciton. talk to mike about how to do this. ""
Analysis of Stocks
""For Document and Announcement. Inlcude ERPnext proceedure - coordinate with Mike B.
For Checking if this will requires Change Proceedure: In ERPNEXT instead ARF you can use MR:MT 
GOAL is proficiency in REPORTING stocks and monitoring stock levels.  
OUTPUT: Proceedure of STOCK opening and reconciliation. (CHANGE proposal of Material Resource Planning). """,,
TRUE,2022-12-06,,,Training in Using ERPNext Reporting and Searching,WH,"PROCEDURE. 
1) SOP/conditions by which Reports are Used. 
2) and How to use Reports. 
- Monitoring and Controlling of STOCKs is done. ",3/29/2023,,,Accounting Counts is included. ,,
TRUE,2022-11-29,,WH,"Materials went straight to production, avoiding WH",WH,"Ric will Make the Memo. 
Update IC",1/17/2023,,,,,
TRUE,2022-11-08,,,CASH ADVANCE REFUND FROM MERALCO,MAINTENANCE,Check forward to accounting.,3/31/2023,,,"Contact LFK.
Euromac (after Lunch they will arrive today 221122). COntact Euromac via their website. Also ask what proof needed that we are a customer. 
EDMAN",,
TRUE,2022-11-08,,,Diagnosis Training. ,MAINTENANCE,Online Training for Euromac Turret Done.,2/7/2023,,,"Biesse Training for Diagnositics. 
LFK will visit, Dec. 
EuroMac no Response. (alignment issues, diagnosis will save us money in callibrating).
""Contact LFK.
Euromac (after Lunch they will arrive today 221122). COntact Euromac via their website. Also ask what proof needed that we are a customer. 
EDMAN""",,
TRUE,2022-11-03,,,Inventory Count - Process Update ,WH/IT,For Review the Inventory Proceedure. Talk to Maam Let what control they want in place. ,9/30/2023,,,"We will begin to encode the Stock Values in ERPnext A01.
2-3 items is realistic?",,
TRUE,2022-11-07,,MATERIAL HANDLING - Equipment,MATERIAL HANDLING PROCEEDURE. Goals - Charter. Tools and Training to fully load OR unload our Basic VAN/Truck an improvement over our current performance with just 2 people (Driver and Crewman). ,ELAINE/BINO ,"NCO for the pushcart 240117. 
Copy on the Pushcart NCO. 
What is the timeline for the Other Trainings and Material handling Equipment. 
Best is we measure the gap, how long does it take 1 crewman + 1 driver to fully load a Truck. Then have a target based on that.
Leila and Arni for Plant Visit related to Material Handling issues 240228. 
Tomorro Visit 240306 - Leila and Arnie
BOOM and SCISSOR Lift Prototype: PUP MOA. will discuss with Eng. Raymond Alfonso 240508
Please coordiante Data Cabinet 240515
For Schedule of Tech Center 240522
PUP on break
240724 ME OJTs 
240807 ME OJTs
241008 looking for OJT and manpower for this project
241023 for Schedule OJT",2025-01-15,2023-01-10,,"In the end the charter and objectis are set. And all the work performed to achieve the goals are monitored and reported. 
""Change Process Proposal
Time and Motion Analysis - what are the factors that affect Load and Unloading. Specific only from Loading area and unloading area. ""
Lets check the kinds of Items - and lets have a Baseline of Time and Motion study",Material Handling,
TRUE,2022-10-27,,,"issue on sizes of products and parts turnedout too big and cannot be accomodated by the truck and powdercoating oven and all access points in projects sites such as elevators, stairs etc.","PDTD, TPDD, QA",Jason Change Proposal for TPDD and PMO.,2/14/2023,2023-01-30,,"Ongoing. Start with PMO/TPDD/Sales getting the Delivery Portals-Passageways of the Project Site. 
Dimensions of the Plant in production. 
2211115 Truck is Done. Next is fill up Change Process Proposal
221129 Truck Dimensions for Planning",,
TRUE,2022-10-27,,,Plant Operarions Meeting will be once a week every Tuesday starting Nov 8,"JCNA, All departments",,,,,,,
TRUE,2022-10-27,,,ICs without SJO - thru CPAR,JSA with Harold,"waiting for schedule from Harold
 221107 Scheduled on Thursday 221110 330pm",11/10/2022,2022-11-21,,,,
TRUE,2022-10-27,,,Change management process,JSA,Release Draft for Feedback,11/10/2022,2022-11-21,,,,
TRUE,2022-10-27,,,Approvals - c/o RDL,all Plant departments,Mike set up the Role for Sir Rey. Hopefully within the day.,,,,,,
TRUE,2022-10-27,,,Tracking cause of delays - pivot table and graphs,"JSA, all plant departments","Teach how to Use it, and plan improvements. ",10/28/2022,,,,,
TRUE,2022-10-27,,The Deadlines are Not Updated. If the PMO is coordinating with the Plant then the Deadlines are Updated. ,"documentation of PM - plan, requirements of the plant, approvals, schedules
We want the PM to coordinte with the Plant regarding their Projects. When we check the PM's plan we can see if they understood the timelines the Plant Gave. As of now, when check the Files of the PM we can access there is no mention of the Plant Schedule. ","RDL, JSA, PPC","For Schedule of the Process Change and meeting with PMO. 
PMO meeting regarding Schedule Controls and management. If our Deadlines are more accurate. for Schedule with PMO, PID, and SSD. 
Can we have a consolidated Schedule MAnagement system. 
General Alignment with Makati - List of Agenda Items. 
For Discussioin when Arelene Visits. - AI to Help manage all the ITEMS and to assist in documenting and clearing up action items. 
When PMO is MRT training 240306
241008 For Schedule Training for ERPNEXT and scheduling. 
241023 For Schedule PMO",1/8/2025,,,"considering if it is not Limited to PMO. Should the responsiblity section of the proceedure Include - departments that have impact in operations?  
1) Coordination with Plant. 
2) Site Coordination. (in PDTD/TPDD meetings many times waiting for SITE measurements and Coordination. What is the BEST way to coordinate.)
3) We checked the PMO spreadsheets - we noticed Plant Schedule of Outsputs is not part of it. The Plant has a OPerations Log - where you see the readiness of the Furniture. How do we coordinate with PMO. (according to DJ there are times they have a lot of Waiting for Furniture Delivery). ",,
TRUE,2022-10-26,,JANITOR DUTIES,JANITOR DUTIES,Kris,"Upload picture 
Ongoing - List of Areas to be Fixed.
For Finalizing. Create of List of all the Areas of Responsibility, and in acolumn write down the frequency is maintained.  Wht is the SLA per area. 
Create a Table for AReas, and columns for the Schedule or Time. 
Then Detail and Describe the areas - then use the AI to detail the types of cleaning recommended. 231206. 
For checking. 240103
-for Implementation. ",1/10/2024,2023-01-31,,"""- Give the Schedule - and Duties. 
- List of their Tools and Supplies that they keep for Cleaning. 
- Proposed Schedule of the Additional Janitor. 
- Now raise the areas that were neglected because of the shortage of manpower / or because we are more active now. 
PR for the Janitor. ""
221207 Replacing the Janitor/Custodian in Customized that resigned during the Pandemic. Getting the best performer in the 4 man repair and cleaning group. ",,
TRUE,2022-10-26,,WATER PERMIT,APPLICATION of LAGUNA WATER. ,RODEL / ROMMEL,Follow up Laguna Water,8/31/2023,,,"new requirements for testing - ongoing source out of 3rd party (LA Water) .  see google docs Plant Infrastructure (Lacking requirements Brgy Clearance to obtain authorization letter from JCNA)
for submission of Laguna Water - Barangay Clearance DONE
rescheduled
May Schedulle Interruptions - Vehicle Down and Change of Schedule (try 221215, today)",,
TRUE,2022-10-26,,,"ERPNEXT report on maintenance. Submit this report to ERlinda/Glo, maam Edna and CNA so they can FUND repairs (they can reserve ammounts). ",MAINTENANCE/ ACCOUNTING,"FOR schedule Training 
After Training Proceedure Writing.
assetsz are ON HOLD. ",2/22/2023,,,Training Mike on Wed and Thursday. ,,
TRUE,2022-10-26,,,dust collectors hose at Systems Furniture area machines,ROMMEL,"Create a Reference Google Doc of the Dust Collector Requirement. With Pictures and Contact details. And post in the many FB engineering and HVAC groups. 
Follow UP",10/27/2022,,delayed release of PO,,,
TRUE,,,,"POWER MAX, getting reports  (Save 600k per year)",RODEL,"Follow up Rodel and Maam Let for Status. link the Waste Oil and Oven Diesel Consumption - amount and cost for disposal. 
to share with justin. ",2/7/2023,,,Get the Diesel and Oven Consumption. ,,
TRUE,,,,2023 Energy Cost Increase Expected. 2-3 quarter of 2023,RODEL/ROMEL,"Discuss with Solar Providers - How much Addiitional Solar needed to offset a 10-20% Increase in Electricity Cost. 
for Schedule. Getting Offers and Vendors. ",5/31/2023,2023-06-05,,This is because during the pandemic Energy producers could not afford to invest in additional capacity. As we are not-pandemic expected Power Deficiency. ,,
TRUE,,,,Turret Machine and other Machine Repairs. ,MAINTENANCE,"Update on problems. Assessment and Actions peformed. 

Upper auto-index of Euromac Turret MTX for alignment.",2/21/2023,,,"221122 - 3 are working out of 4 are working. LFK is having a low voltage. ask if they have a service unit for Sizing. 
for voltage analysis today. 
221207-221207 MTX repair by Euromac",,
TRUE,2022-08-05,,DUAL SCREEN productivity,Compare workflow of 2 screen vs 1 screen in Design,,Measure the Difference and Present. Biz Planning.,8/19/2022,,,Proven already. Presented in Biz Plan. For implementation. ,,
TRUE,2022-08-05,,Biz Plan Presentation for Year End. ,"Business Plans for Next Fiscal Year. Including Accomplishment for this year.
Deadline September 2. What is our Earliest Milestone? When can we present Drafts? 
August 18  - CUSTOMIZED. WAREHOUSE, MAINTENANCE, SAFETY, PPC, SHIPPING, QA, PDTD, METAL, SYSTEMS, PAINTING",,"Create a Draft of the Departments Biz Plan.
",8/19/2022,2022-09-01,,,,
TRUE,2022-08-05,,FINISHING AREA,HVAC - FINISHING AREA,Kris and John,"Pleated Filter
PR Varnishing Spray gun. 2x. Check if PRed 240103
Save one pleated filter for folding template creation. (Follow up CSB) 
For schedule visit of the Paper Supplier. 
send a sample for Observation and Evaluation by Industrial Design OJTS. 
Talk to jason who can he assign on this project 240228. 
Sensor April 27 240424
Particle Sensor evaluatioin 240508
Change of Blower output 240515
240626 waiting for CIVIL cad personnel
240807 OJTs follow up
240821 - PR for staff
240828
241023 - For ME OJT",2025-01-08,,,"Ivan will need Maintenance and PDTD help detailing the Varnishing Area. 
Nerio is still sick. 
Ivan will make Ducting BOM. 
FRESH AIR INTAKE, we not close off the louvers yet. 
Evaluate when we can use the FINISHING AREA. 
STUDY and TESTING of the CURING OVEN - at start researching the requirements. (after the Booths are consider Usable). 
SANDING area - removal of the Booth. 

Renovation of Sanding Area by Nerio",,
